file_path,class_name,category,base_letter,vowel_modifier,vattu,base_idx,modifier_idx,vattu_idx
Guninthamulu/ga/gaa/A_0_6675.jpeg,Guninthamulu__ga__gaa,Guninthamulu,గ,aa,none,19,1,0
Guninthamulu/tt/too/A_0_8716.jpeg,Guninthamulu__tt__too,Guninthamulu,ఠ,oo,none,27,12,0
Guninthamulu/tt/tah/A_0_2579.jpeg,Guninthamulu__tt__tah,Guninthamulu,ఠ,ah,none,27,15,0
Guninthamulu/dha/dhi/A_0_9447.jpeg,Guninthamulu__dha__dhi,Guninthamulu,ధ,i,none,34,2,0
Guninthamulu/na/nm/A_0_6677.jpeg,Guninthamulu__na__nm,Guninthamulu,న,am,none,35,14,0
Guninthamulu/ksh/kshoo/A_0_2858.jpeg,Guninthamulu__ksh__kshoo,Guninthamulu,క్ష,oo,none,51,12,0
achulu/o/A_0_7457.jpeg,achulu__o,achulu,ఒ,none,none,12,0,0
Guninthamulu/da/dm/A_0_8433.jpeg,Guninthamulu__da__dm,Guninthamulu,ద,am,none,33,14,0
Guninthamulu/ana/anr/40.jpg,Guninthamulu__ana__anr,Guninthamulu,ణ,ru,none,30,6,0
Guninthamulu/RR/rrah/50.jpg,Guninthamulu__RR__rrah,Guninthamulu,ఱ,ah,none,43,15,0
achulu/ai/A_0_3804.jpeg,achulu__ai,achulu,ఐ,none,none,11,0,0
Guninthamulu/ha/hru/A_0_8824.jpeg,Guninthamulu__ha__hru,Guninthamulu,హ,ru,none,50,6,0
Guninthamulu/da/de/A_0_568.jpeg,Guninthamulu__da__de,Guninthamulu,ద,e,none,33,8,0
Guninthamulu/ya/yuu/A_0_8090.jpeg,Guninthamulu__ya__yuu,Guninthamulu,య,uu,none,41,5,0
Guninthamulu/ksh/kshee/A_0_2444.jpeg,Guninthamulu__ksh__kshee,Guninthamulu,క్ష,ee,none,51,9,0
Guninthamulu/ll/luu/A_0_801.jpeg,Guninthamulu__ll__luu,Guninthamulu,ళ,uu,none,45,5,0
othulu/bh/A_0_4161.jpeg,othulu__bh,othulu,none,none,bh,0,0,3
Guninthamulu/va/vu/A_0_2307.jpeg,Guninthamulu__va__vu,Guninthamulu,వ,u,none,46,4,0
Guninthamulu/jh/jhm/A_0_3713.jpeg,Guninthamulu__jh__jhm,Guninthamulu,ఝ,am,none,25,14,0
Guninthamulu/th/thoo/A_0_8339.jpeg,Guninthamulu__th__thoo,Guninthamulu,త,oo,none,31,12,0
hallulu/ana/A_0_4053.jpeg,hallulu__ana,hallulu,ణ,none,none,30,0,0
Guninthamulu/sh/shah/A_0_229.jpeg,Guninthamulu__sh__shah,Guninthamulu,ష,ah,none,48,15,0
Guninthamulu/ma/m/A_0_5168.jpeg,Guninthamulu__ma__m,Guninthamulu,మ,none,none,40,0,0
Guninthamulu/ch/che/A_0_8069.jpeg,Guninthamulu__ch__che,Guninthamulu,చ,e,none,22,8,0
Guninthamulu/na/nah/51.jpg,Guninthamulu__na__nah,Guninthamulu,న,ah,none,35,15,0
Guninthamulu/dh/dhu/A_0_3988.jpeg,Guninthamulu__dh__dhu,Guninthamulu,ఢ,u,none,29,4,0
Guninthamulu/sa/see/A_0_8573.jpeg,Guninthamulu__sa__see,Guninthamulu,స,ee,none,49,9,0
Guninthamulu/ga/gee/A_0_5050.jpeg,Guninthamulu__ga__gee,Guninthamulu,గ,ee,none,19,9,0
Guninthamulu/ba/bau/35.jpg,Guninthamulu__ba__bau,Guninthamulu,బ,au,none,38,13,0
othulu/j/A_0_4308.jpeg,othulu__j,othulu,none,none,j,0,0,14
Guninthamulu/tt/ta/A_0_8967.jpeg,Guninthamulu__tt__ta,Guninthamulu,ఠ,aa,none,27,1,0
Guninthamulu/dha/dhr/A_0_7690.jpeg,Guninthamulu__dha__dhr,Guninthamulu,ధ,ru,none,34,6,0
hallulu/rr/A_0_9091.jpeg,hallulu__rr,hallulu,ఱ,none,none,43,0,0
hallulu/cha/A_0_3824.jpeg,hallulu__cha,hallulu,ఛ,none,none,23,0,0
Guninthamulu/dh/dhii/A_0_5899.jpeg,Guninthamulu__dh__dhii,Guninthamulu,ఢ,ii,none,29,3,0
Guninthamulu/ma/mou/A_0_9681.jpeg,Guninthamulu__ma__mou,Guninthamulu,మ,au,none,40,13,0
